Location,sex,BMI,REGION,WHO.region,COUNTRY
Afghanistan,Male,22.6,EMR,Eastern Mediterranean,AFG
Afghanistan,Female,24.1,EMR,Eastern Mediterranean,AFG
Albania,Male,27,EUR,Europe,ALB
Albania,Female,26.3,EUR,Europe,ALB
Algeria,Male,24.7,AFR,Africa,DZA
Algeria,Female,26.4,AFR,Africa,DZA
Andorra,Male,27.3,EUR,Europe,AND
Andorra,Female,26.1,EUR,Europe,AND
Angola,Male,22.3,AFR,Africa,AGO
Angola,Female,24.3,AFR,Africa,AGO
Antigua and Barbuda,Male,25.7,AMR,Americas,ATG
Antigua and Barbuda,Female,27.7,AMR,Americas,ATG
Argentina,Male,27.8,AMR,Americas,ARG
Argentina,Female,27.6,AMR,Americas,ARG
Armenia,Male,25.6,EUR,Europe,ARM
Armenia,Female,27,EUR,Europe,ARM
Australia,Male,27.6,WPR,Western Pacific,AUS
Australia,Female,26.7,WPR,Western Pacific,AUS
Austria,Male,26.5,EUR,Europe,AUT
Austria,Female,24.6,EUR,Europe,AUT
Azerbaijan,Male,26.1,EUR,Europe,AZE
Azerbaijan,Female,27.9,EUR,Europe,AZE
Bahamas,Male,27.1,AMR,Americas,BHS
Bahamas,Female,28.8,AMR,Americas,BHS
Bahrain,Male,24.8,EMR,Eastern Mediterranean,BHR
Bahrain,Female,24.8,EMR,Eastern Mediterranean,BHR
Bangladesh,Male,21.3,SEAR,South-East Asia,BGD
Bangladesh,Female,22,SEAR,South-East Asia,BGD
Barbados,Male,26.4,AMR,Americas,BRB
Barbados,Female,29.2,AMR,Americas,BRB
Belarus,Male,26.4,EUR,Europe,BLR
Belarus,Female,26.6,EUR,Europe,BLR
Belgium,Male,26.6,EUR,Europe,BEL
Belgium,Female,25.6,EUR,Europe,BEL
Belize,Male,27.5,AMR,Americas,BLZ
Belize,Female,30.5,AMR,Americas,BLZ
Benin,Male,22.6,AFR,Africa,BEN
Benin,Female,24.5,AFR,Africa,BEN
Bhutan,Male,23.5,SEAR,South-East Asia,BTN
Bhutan,Female,24.5,SEAR,South-East Asia,BTN
Bolivia (Plurinational State of),Male,25.3,AMR,Americas,BOL
Bolivia (Plurinational State of),Female,27.7,AMR,Americas,BOL
Bosnia and Herzegovina,Male,26.4,EUR,Europe,BIH
Bosnia and Herzegovina,Female,25.1,EUR,Europe,BIH
Botswana,Male,22.5,AFR,Africa,BWA
Botswana,Female,26.1,AFR,Africa,BWA
Brazil,Male,26.3,AMR,Americas,BRA
Brazil,Female,26.8,AMR,Americas,BRA
Brunei Darussalam,Male,27.2,WPR,Western Pacific,BRN
Brunei Darussalam,Female,27.2,WPR,Western Pacific,BRN
Bulgaria,Male,27.1,EUR,Europe,BGR
Bulgaria,Female,25.7,EUR,Europe,BGR
Burkina Faso,Male,22.2,AFR,Africa,BFA
Burkina Faso,Female,22.1,AFR,Africa,BFA
Burundi,Male,21.8,AFR,Africa,BDI
Burundi,Female,21.6,AFR,Africa,BDI
Cabo Verde,Male,23.7,AFR,Africa,CPV
Cabo Verde,Female,25.3,AFR,Africa,CPV
Cambodia,Male,22.1,WPR,Western Pacific,KHM
Cambodia,Female,22.3,WPR,Western Pacific,KHM
Cameroon,Male,23.6,AFR,Africa,CMR
Cameroon,Female,25.1,AFR,Africa,CMR
Canada,Male,27.3,AMR,Americas,CAN
Canada,Female,26.6,AMR,Americas,CAN
Central African Republic,Male,22,AFR,Africa,CAF
Central African Republic,Female,23.7,AFR,Africa,CAF
Chad,Male,21.9,AFR,Africa,TCD
Chad,Female,21.9,AFR,Africa,TCD
Chile,Male,27.8,AMR,Americas,CHL
Chile,Female,28.1,AMR,Americas,CHL
China,Male,24.2,WPR,Western Pacific,CHN
China,Female,23.5,WPR,Western Pacific,CHN
Colombia,Male,25.8,AMR,Americas,COL
Colombia,Female,26.6,AMR,Americas,COL
Comoros,Male,23.3,AFR,Africa,COM
Comoros,Female,25.6,AFR,Africa,COM
Congo,Male,22.3,AFR,Africa,COG
Congo,Female,24.1,AFR,Africa,COG
Cook Islands,Male,32.7,WPR,Western Pacific,COK
Cook Islands,Female,33.1,WPR,Western Pacific,COK
Costa Rica,Male,26.8,AMR,Americas,CRI
Costa Rica,Female,27.9,AMR,Americas,CRI
Croatia,Male,28,EUR,Europe,HRV
Croatia,Female,26.8,EUR,Europe,HRV
Cuba,Male,25.2,AMR,Americas,CUB
Cuba,Female,26,AMR,Americas,CUB
Cyprus,Male,27.5,EUR,Europe,CYP
Cyprus,Female,26,EUR,Europe,CYP
Czechia,Male,27.9,EUR,Europe,CZE
Czechia,Female,26.2,EUR,Europe,CZE
Democratic People's Republic of Korea,Male,24.2,SEAR,South-East Asia,PRK
Democratic People's Republic of Korea,Female,24,SEAR,South-East Asia,PRK
Democratic Republic of the Congo,Male,21.3,AFR,Africa,COD
Democratic Republic of the Congo,Female,22.6,AFR,Africa,COD
Denmark,Male,26.2,EUR,Europe,DNK
Denmark,Female,24.4,EUR,Europe,DNK
Djibouti,Male,23.4,EMR,Eastern Mediterranean,DJI
Djibouti,Female,24.6,EMR,Eastern Mediterranean,DJI
Dominica,Male,25,AMR,Americas,DMA
Dominica,Female,29,AMR,Americas,DMA
Dominican Republic,Male,25.5,AMR,Americas,DOM
Dominican Republic,Female,27.4,AMR,Americas,DOM
Ecuador,Male,26.6,AMR,Americas,ECU
Ecuador,Female,27.9,AMR,Americas,ECU
Egypt,Male,27.8,EMR,Eastern Mediterranean,EGY
Egypt,Female,31.4,EMR,Eastern Mediterranean,EGY
El Salvador,Male,26.8,AMR,Americas,SLV
El Salvador,Female,28.3,AMR,Americas,SLV
Equatorial Guinea,Male,22.3,AFR,Africa,GNQ
Equatorial Guinea,Female,25.9,AFR,Africa,GNQ
Eritrea,Male,20.2,AFR,Africa,ERI
Eritrea,Female,21.1,AFR,Africa,ERI
Estonia,Male,26.9,EUR,Europe,EST
Estonia,Female,25.9,EUR,Europe,EST
Eswatini,Male,24.5,AFR,Africa,SWZ
Eswatini,Female,28.9,AFR,Africa,SWZ
Ethiopia,Male,20.1,AFR,Africa,ETH
Ethiopia,Female,21.1,AFR,Africa,ETH
Fiji,Male,26.6,WPR,Western Pacific,FJI
Fiji,Female,28.8,WPR,Western Pacific,FJI
Finland,Male,26.4,EUR,Europe,FIN
Finland,Female,25.5,EUR,Europe,FIN
France,Male,25.9,EUR,Europe,FRA
France,Female,24.2,EUR,Europe,FRA
Gabon,Male,24,AFR,Africa,GAB
Gabon,Female,26.5,AFR,Africa,GAB
Gambia,Male,23.4,AFR,Africa,GMB
Gambia,Female,24.5,AFR,Africa,GMB
Georgia,Male,27.5,EUR,Europe,GEO
Georgia,Female,27.6,EUR,Europe,GEO
Germany,Male,27.3,EUR,Europe,DEU
Germany,Female,25.8,EUR,Europe,DEU
Ghana,Male,22.5,AFR,Africa,GHA
Ghana,Female,25.2,AFR,Africa,GHA
Greece,Male,27.5,EUR,Europe,GRC
Greece,Female,26.7,EUR,Europe,GRC
Grenada,Male,25.2,AMR,Americas,GRD
