"","county","date","cases"
"1","台北市",2017-01-01,1
"2","新北市",2017-01-22,1
"3","新北市",2020-01-22,2
"4","彰化縣",2020-01-26,1
"5","南投縣",2020-01-27,1
"6","彰化縣",2020-01-27,2
"7","台中市",2020-01-28,1
"8","新北市",2020-01-28,3
"9","新北市",2020-01-29,4
"10","新北市",2020-01-31,5
"11","台中市",2020-02-03,2
"12","新北市",2020-02-05,6
"13","彰化縣",2020-02-06,3
"14","新北市",2020-02-06,7
"15","彰化縣",2020-02-15,4
"16","桃園市",2020-02-18,2
"17","新北市",2020-02-19,8
"18","桃園市",2020-02-19,4
"19","新北市",2020-02-23,9
"20","桃園市",2020-02-23,5
"21","新北市",2020-02-24,10
"22","桃園市",2020-02-25,7
"23","台中市",2020-02-27,3
"24","新北市",2020-02-28,11
"25","桃園市",2020-03-02,8
"26","新北市",2020-03-03,12
"27","桃園市",2020-03-06,9
"28","台南市",2020-03-12,1
"29","桃園市",2020-03-12,10
"30","新北市",2020-03-15,13
"31","新北市",2020-03-16,14
"32","台中市",2020-03-17,4
"33","台北市",2020-03-17,4
"34","新北市",2020-03-17,16
"35","台北市",2020-03-18,5
"36","新竹市",2020-03-20,2
"37","台中市",2020-03-22,5
"38","台北市",2020-03-23,6
"39","新北市",2020-03-23,17
"40","桃園市",2020-03-23,11
"41","台北市",2020-03-24,7
"42","台北市",2020-03-25,8
"43","新北市",2020-03-25,18
"44","新竹市",2020-03-25,3
"45","基隆市",2020-03-26,1
"46","桃園市",2020-03-26,12
"47","桃園市",2020-03-30,13
"48","桃園市",2020-04-03,14
"49","台北市",2020-04-06,9
"50","新北市",2020-04-09,19
"51","桃園市",2020-12-14,15
"52","桃園市",2021-01-08,16
"53","桃園市",2021-01-09,17
"54","桃園市",2021-01-14,20
"55","桃園市",2021-01-16,22
"56","桃園市",2021-01-17,23
"57","桃園市",2021-01-18,25
"58","桃園市",2021-01-19,26
"59","桃園市",2021-01-20,27
"60","桃園市",2021-01-21,29
"61","桃園市",2021-01-22,30
"62","桃園市",2021-01-23,31
"63","桃園市",2021-01-28,32
"64","桃園市",2021-01-29,33
"65","桃園市",2021-01-30,34
"66","桃園市",2021-02-01,35
"67","桃園市",2021-02-07,36
"68","新北市",2021-04-01,20
"69","新北市",2021-04-17,21
"70","桃園市",2021-04-20,37
"71","桃園市",2021-04-22,38
"72","台北市",2021-04-23,10
"73","台北市",2021-04-26,11
"74","新北市",2021-04-26,22
"75","桃園市",2021-04-26,41
"76","台北市",2021-04-27,12
"77","新北市",2021-04-27,23
"78","新北市",2021-04-28,27
"79","台北市",2021-04-29,13
"80","新北市",2021-04-29,29
"81","桃園市",2021-04-29,43
"82","台北市",2021-04-30,15
"83","新北市",2021-04-30,31
"84","桃園市",2021-04-30,44
"85","台北市",2021-05-01,22
"86","基隆市",2021-05-01,2
"87","新北市",2021-05-01,35
"88","台北市",2021-05-02,25
"89","新北市",2021-05-02,38
"90","桃園市",2021-05-02,45
"91","台北市",2021-05-03,27
"92","基隆市",2021-05-03,3
"93","彰化縣",2021-05-03,5
"94","新北市",2021-05-03,43
"95","桃園市",2021-05-03,46
"96","台北市",2021-05-04,28
"97","台北市",2021-05-05,32
"98","新北市",2021-05-05,48
"99","台北市",2021-05-06,41
"100","新北市",2021-05-06,59
"101","台北市",2021-05-07,51
"102","基隆市",2021-05-07,4
"103","宜蘭縣",2021-05-07,1
"104","新北市",2021-05-07,72
"105","桃園市",2021-05-07,47
"106","台北市",2021-05-08,71
"107","宜蘭縣",2021-05-08,3
"108","新北市",2021-05-08,85
"109","桃園市",2021-05-08,49
"110","台北市",2021-05-09,80
"111","基隆市",2021-05-09,5
"112","宜蘭縣",2021-05-09,4
