0,1,2,3,4,5
寶島股價報酬指數,"24,460.33",<p style ='color:green'>-</p>,391.61,-1.58,
發行量加權股價報酬指數,"31,862.52",<p style ='color:green'>-</p>,550.00,-1.70,
臺灣公司治理100報酬指數,"12,182.94",<p style ='color:green'>-</p>,243.93,-1.96,
臺灣50報酬指數,"24,832.97",<p style ='color:green'>-</p>,541.28,-2.13,
臺灣50權重上限30%報酬指數,"23,724.39",<p style ='color:green'>-</p>,451.37,-1.87,
臺灣中型100報酬指數,"25,470.86",<p style ='color:green'>-</p>,312.92,-1.21,
臺灣資訊科技股報酬指數,"40,154.75",<p style ='color:green'>-</p>,819.88,-2.00,
臺灣發達報酬指數,"19,167.31",<p style ='color:green'>-</p>,303.56,-1.56,
臺灣高股息報酬指數,"18,008.46",<p style ='color:green'>-</p>,204.52,-1.12,
臺灣就業99報酬指數,"14,195.08",<p style ='color:green'>-</p>,255.74,-1.77,
臺灣高薪100報酬指數,"12,120.03",<p style ='color:green'>-</p>,212.07,-1.72,
未含金融電子報酬指數,"31,444.22",<p style ='color:green'>-</p>,458.36,-1.44,
小型股300報酬指數,"10,871.62",<p style ='color:green'>-</p>,87.27,-0.80,
水泥類報酬指數,317.85,<p style ='color:green'>-</p>,5.02,-1.55,
食品類報酬指數,"2,719.99",<p style ='color:green'>-</p>,18.93,-0.69,
塑膠類報酬指數,462.27,<p style ='color:green'>-</p>,5.73,-1.22,
紡織纖維類報酬指數,888.46,<p style ='color:green'>-</p>,21.63,-2.38,
電機機械類報酬指數,325.79,<p style ='color:green'>-</p>,4.06,-1.23,
電器電纜類報酬指數,139.49,<p style ='color:green'>-</p>,5.76,-3.97,
化學生技醫療類報酬指數,178.68,<p style ='color:green'>-</p>,1.55,-0.86,
化學類報酬指數,238.12,<p style ='color:green'>-</p>,1.61,-0.67,
生技醫療類報酬指數,86.78,<p style ='color:green'>-</p>,1.00,-1.14,
玻璃陶瓷類報酬指數,63.62,<p style ='color:green'>-</p>,0.66,-1.03,
造紙類報酬指數,477.96,<p style ='color:green'>-</p>,9.52,-1.95,
鋼鐵類報酬指數,245.57,<p style ='color:green'>-</p>,4.72,-1.89,
橡膠類報酬指數,387.87,<p style ='color:green'>-</p>,6.31,-1.60,
汽車類報酬指數,475.64,<p style ='color:green'>-</p>,6.93,-1.44,
電子工業類報酬指數,"1,354.30",<p style ='color:green'>-</p>,22.96,-1.67,
半導體類報酬指數,624.63,<p style ='color:green'>-</p>,13.94,-2.18,
電腦及週邊設備類報酬指數,268.73,<p style ='color:green'>-</p>,1.86,-0.69,
光電類報酬指數,46.93,<p style ='color:green'>-</p>,0.79,-1.66,
通信網路類報酬指數,276.42,<p style ='color:green'>-</p>,1.32,-0.48,
電子零組件類報酬指數,300.85,<p style ='color:green'>-</p>,4.12,-1.35,
電子通路類報酬指數,440.38,<p style ='color:green'>-</p>,2.85,-0.64,
資訊服務類報酬指數,277.73,<p style ='color:green'>-</p>,2.57,-0.92,
其他電子類報酬指數,151.72,<p style ='color:red'>+</p>,0.19,0.13,
建材營造類報酬指數,692.73,<p style ='color:green'>-</p>,8.13,-1.16,
航運類報酬指數,357.80,<p style ='color:green'>-</p>,5.66,-1.56,
觀光類報酬指數,122.98,<p style ='color:green'>-</p>,1.41,-1.13,
金融保險類報酬指數,"2,682.98",<p style ='color:green'>-</p>,67.36,-2.45,
貿易百貨類報酬指數,432.65,<p style ='color:red'>+</p>,3.31,0.77,
油電燃氣類報酬指數,183.60,<p style ='color:green'>-</p>,2.06,-1.11,
其他類報酬指數,583.18,<p style ='color:green'>-</p>,13.14,-2.20,

