"","date","index","Time"
"1",2018-01-02,64.97,"before_2020"
"2",2018-01-03,64.84,"before_2020"
"3",2018-01-04,64.95,"before_2020"
"4",2018-01-05,64.77,"before_2020"
"5",2018-01-08,65.06,"before_2020"
"6",2018-01-09,64.91,"before_2020"
"7",2018-01-10,64.64,"before_2020"
"8",2018-01-11,64.35,"before_2020"
"9",2018-01-12,64.25,"before_2020"
"10",2018-01-15,65.4,"before_2020"
"11",2018-01-16,65.53,"before_2020"
"12",2018-01-17,64.83,"before_2020"
"13",2018-01-18,64.55,"before_2020"
"14",2018-01-19,64.71,"before_2020"
"15",2018-01-22,64.26,"before_2020"
"16",2018-01-23,64.22,"before_2020"
"17",2018-01-24,63.91,"before_2020"
"18",2018-01-25,64.25,"before_2020"
"19",2018-01-26,64.55,"before_2020"
"20",2018-01-29,64.2,"before_2020"
"21",2018-01-30,63.95,"before_2020"
"22",2018-01-31,64.03,"before_2020"
"23",2018-02-01,63.66,"before_2020"
"24",2018-02-02,63.82,"before_2020"
"25",2018-02-05,63.08,"before_2020"
"26",2018-02-06,59.33,"before_2020"
"27",2018-02-07,60.67,"before_2020"
"28",2018-02-08,60.48,"before_2020"
"29",2018-02-09,59.65,"before_2020"
"30",2018-02-12,59.89,"before_2020"
"31",2018-02-21,61.14,"before_2020"
"32",2018-02-22,61.93,"before_2020"
"33",2018-02-23,62.06,"before_2020"
"34",2018-02-26,62.26,"before_2020"
"35",2018-02-27,62.47,"before_2020"
"36",2018-03-01,62.39,"before_2020"
"37",2018-03-02,61.94,"before_2020"
"38",2018-03-05,62.03,"before_2020"
"39",2018-03-06,62.78,"before_2020"
"40",2018-03-07,64.18,"before_2020"
"41",2018-03-08,64.82,"before_2020"
"42",2018-03-09,65,"before_2020"
"43",2018-03-12,65.07,"before_2020"
"44",2018-03-13,65.49,"before_2020"
"45",2018-03-14,65.9,"before_2020"
"46",2018-03-15,66.91,"before_2020"
"47",2018-03-16,67.35,"before_2020"
"48",2018-03-19,68.18,"before_2020"
"49",2018-03-20,68.67,"before_2020"
"50",2018-03-21,68.45,"before_2020"
"51",2018-03-22,67.44,"before_2020"
"52",2018-03-23,67.05,"before_2020"
"53",2018-03-26,68.93,"before_2020"
"54",2018-03-27,68.93,"before_2020"
"55",2018-03-28,69.56,"before_2020"
"56",2018-03-29,70.65,"before_2020"
"57",2018-03-30,70.25,"before_2020"
"58",2018-04-02,71.32,"before_2020"
"59",2018-04-03,72.03,"before_2020"
"60",2018-04-09,74.43,"before_2020"
